Temp,Hum,A,B,C,D,E,F,G,H,I,J,Cons
13,83,1,4,1,1629,1813,1838,1507,1391,1561,1693.5,1505
12.83333333,83.41666667,1,4,1,1579,1755,1834,1451,1364,1517,1663.083333,1469
12.66666667,83.83333333,1,4,1,1557,1712,1861,1467,1318,1505,1629.833333,1462
12.5,84.25,1,4,1,1539,1662,1876,1449,1325,1489,1590.833333,1408
12.33333333,84.66666667,2,4,1,1505,1629,1813,1438,1313,1455,1557.833333,1417
12.16666667,85.08333333,2,4,1,1469,1579,1755,1389,1282,1421,1527.25,1388
12,85.5,2,4,1,1462,1557,1712,1371,1263,1412,1500.666667,1393
11.83333333,85.91666667,2,4,1,1408,1539,1662,1351,1248,1403,1476.583333,1373
11.66666667,86.33333333,3,4,1,1417,1505,1629,1350,1236,1368,1452.916667,1345
11.5,86.75,3,4,1,1388,1469,1579,1352,1239,1368,1433.25,1343
11.33333333,87.16666667,3,4,1,1393,1462,1557,1359,1233,1370,1415.916667,1349
11.16666667,87.58333333,3,4,1,1373,1408,1539,1343,1239,1349,1399.666667,1344
11,88,4,4,1,1345,1417,1505,1336,1215,1343,1383.666667,1313
11.04166667,88,4,4,1,1343,1388,1469,1344,1200,1336,1369.5,1299
11.08333333,88,4,4,1,1349,1393,1462,1324,1204,1348,1358.5,1330
11.125,88,4,4,1,1344,1373,1408,1303,1205.5,1330,1352.583333,1337
11.16666667,88,5,4,1,1313,1345,1417,1319,1207,1332,1346.583333,1345
11.20833333,88,5,4,1,1299,1343,1388,1341,1217,1345,1343.5,1351
11.25,88,5,4,1,1330,1349,1393,1356,1234,1381,1341.75,1372
11.29166667,88,5,4,1,1337,1344,1373,1388,1260,1387,1342.916667,1387
11.33333333,88,6,4,1,1345,1313,1345,1391,1275,1388,1347.166667,1396
11.375,88,6,4,1,1351,1299,1343,1412,1282,1396,1353.333333,1417
11.41666667,88,6,4,1,1372,1330,1349,1478,1322,1423,1363,1465
11.45833333,88,6,4,1,1387,1337,1344,1559,1382,1465,1379.916667,1547
11.5,88,7,4,1,1396,1345,1313,1615,1463,1535,1406.333333,1630
12.04166667,85.83333333,7,4,1,1417,1351,1299,1593,1537,1462,1435,1643
12.58333333,83.66666667,7,4,1,1465,1372,1330,1601,1509,1429,1459.083333,1619
13.125,81.5,7,4,1,1547,1387,1337,1649,1557,1466,1487.666667,1680
13.66666667,79.33333333,8,4,1,1630,1396,1345,1682,1636,1466,1516.333333,1689
14.20833333,77.16666667,8,4,1,1643,1417,1351,1719,1671,1435,1543.75,1680
14.75,75,8,4,1,1619,1465,1372,1770,1714,1468,1573.416667,1728
15.29166667,72.83333333,8,4,1,1680,1547,1387,1789,1717,1486,1601.75,1727
15.83333333,70.66666667,9,4,1,1689,1630,1396,1807,1670,1486,1631.333333,1751
16.375,68.5,9,4,1,1680,1643,1417,1871,1692,1481,1658.083333,1738
16.91666667,66.33333333,9,4,1,1728,1619,1465,1805,1747,1569,1686.333333,1804
17.45833333,64.16666667,9,4,1,1727,1680,1547,1782,1774,1540,1709.75,1828
18,62,10,4,1,1751,1689,1630,1732,1789,1549,1726.25,1828
18.33333333,60.5,10,4,1,1738,1680,1643,1798,1762,1563,1737.916667,1783
18.66666667,59,10,4,1,1804,1728,1619,1848,1776,1675,1757.75,1857
