Temp,Hum,A,B,C,D,E,F,G,H,I,J,Cons
17,75,1,4,1,1844,1891,1964,1719,1540,1670,1856.416667,1713
16.91666667,74.58333333,1,4,1,1787,1879,1933,1679,1533,1680,1834.916667,1675
16.83333333,74.16666667,1,4,1,1789,1919,1950,1665,1520,1664,1812.083333,1676
16.75,73.75,1,4,1,1754,1885,1933,1645,1500,1636,1785.333333,1612
16.66666667,73.33333333,2,4,1,1713,1844,1891,1614,1482,1591,1763,1623
16.58333333,72.91666667,2,4,1,1675,1787,1879,1584,1458,1557,1739.083333,1592
16.5,72.5,2,4,1,1676,1789,1919,1566,1430,1519,1709.333333,1562
16.41666667,72.08333333,2,4,1,1612,1754,1885,1546,1421,1527,1680,1533
16.33333333,71.66666667,3,4,1,1623,1713,1844,1551,1408,1526,1651.75,1505
16.25,71.25,3,4,1,1592,1675,1787,1535,1400,1530,1628.166667,1504
16.16666667,70.83333333,3,4,1,1562,1676,1789,1537,1416,1525,1604.166667,1501
16.08333333,70.41666667,3,4,1,1533,1612,1754,1529,1412,1513,1580.333333,1468
16,70,4,4,1,1505,1623,1713,1488,1384,1483,1562.666667,1501
16.08333333,69.66666667,4,4,1,1504,1592,1675,1503,1365,1507,1545.333333,1467
16.16666667,69.33333333,4,4,1,1501,1562,1676,1509,1374,1512,1531.25,1507
16.25,69,4,4,1,1468,1533,1612,1511,1378,1531,1522.833333,1511
16.33333333,68.66666667,5,4,1,1501,1505,1623,1519,1396,1522,1513.333333,1509
16.41666667,68.33333333,5,4,1,1467,1504,1592,1537,1399,1519,1506.166667,1506
16.5,68,5,4,1,1507,1501,1562,1539,1410,1525,1503.166667,1526
16.58333333,67.66666667,5,4,1,1511,1468,1533,1548,1445,1534,1502.25,1522
16.66666667,67.33333333,6,4,1,1509,1501,1505,1538,1457,1524,1503.333333,1518
16.75,67,6,4,1,1506,1467,1504,1587,1473,1570,1505.083333,1525
16.83333333,66.66666667,6,4,1,1526,1507,1501,1639,1522,1617,1508.583333,1543
16.91666667,66.33333333,6,4,1,1522,1511,1468,1713,1596,1676,1518.166667,1583
17,66,7,4,1,1518,1509,1501,1763,1617,1661,1527.5,1613
17.54166667,64.33333333,7,4,1,1525,1506,1467,1723,1601,1559,1542.083333,1642
18.08333333,62.66666667,7,4,1,1543,1526,1507,1631,1598,1528,1552.333333,1630
18.625,61,7,4,1,1583,1522,1511,1719,1653,1529,1566.083333,1676
19.16666667,59.33333333,8,4,1,1613,1518,1509,1738,1671,1511,1582.5,1706
19.70833333,57.66666667,8,4,1,1642,1525,1506,1732,1677,1534,1599.416667,1709
20.25,56,8,4,1,1630,1543,1526,1757,1738,1572,1616.916667,1736
20.79166667,54.33333333,8,4,1,1676,1583,1522,1790,1753,1588,1639.666667,1795
21.33333333,52.66666667,9,4,1,1706,1613,1518,1807,1757,1596,1662.666667,1794
21.875,51,9,4,1,1709,1642,1525,1817,1788,1638,1686.416667,1810
22.41666667,49.33333333,9,4,1,1736,1630,1543,1896,1872,1694,1710.833333,1836
22.95833333,47.66666667,9,4,1,1795,1676,1583,1950,1882,1687,1732.666667,1845
23.5,46,10,4,1,1794,1706,1613,1947,1890,1672,1760.75,1950
23.625,45.33333333,10,4,1,1810,1709,1642,1883,1845,1734,1785.75,1942
23.75,44.66666667,10,4,1,1836,1736,1630,1938,1875,1835,1813.75,1966
23.875,44,10,4,1,1845,1795,1676,1891,1840,1829,1835.416667,1936
24,43.33333333,11,4,1,1950,1794,1706,1885,1864,1798,1852.666667,1913
24.125,42.66666667,11,4,1,1942,1810,1709,1865,1865,1819,1869.666667,1913
24.25,42,11,4,1,1966,1836,1736,1921,1943,1864,1886.5,1938
24.375,41.33333333,11,4,1,1936,1845,1795,1923,1935,1848,1902.833333,1991
24.5,40.66666667,12,4,1,1913,1950,1794,1908,1939,1801,1920.25,2003
24.625,40,12,4,1,1913,1942,1810,1891,1929,1836,1933.583333,1970
24.75,39.33333333,12,4,1,1938,1966,1836,1899,1946,1839,1945.583333,1980
24.875,38.66666667,12,4,1,1991,1936,1845,1868,1931,1826,1956.083333,1971
25,38,13,4,1,2003,1913,1950,1841,1901,1807,1957.25,1964
25.04166667,38.33333333,13,4,1,1970,1913,1942,1792,1775,1695,1957.166667,1941
25.08333333,38.66666667,13,4,1,1980,1938,1966,1728,1772,1639,1944.083333,1809
25.125,39,13,4,1,1971,1991,1936,1714,1763,1616,1929.833333,1765
25.16666667,39.33333333,14,4,1,1964,2003,1913,1695,1748,1588,1917.666667,1767
25.20833333,39.66666667,14,4,1,1941,1970,1913,1634,1687,1596,1899.916667,1700
25.25,40,14,4,1,1809,1980,1938,1649,1737,1648,1879.416667,1692
25.29166667,40.33333333,14,4,1,1765,1971,1991,1689,1757,1647,1860.333333,1762
25.33333333,40.66666667,15,4,1,1767,1964,2003,1708,1729,1629,1844.916667,1818
25.375,41,15,4,1,1700,1941,1970,1761,1899,1732,1829.916667,1790
25.41666667,41.33333333,15,4,1,1692,1809,1980,1995,2160,1853,1828.833333,1967
25.45833333,41.66666667,15,4,1,1762,1765,1971,2041,2176,1820,1839,2093
25.5,42,16,4,1,1818,1767,1964,2062,2188,1814,1852.583333,2127
25.16666667,44,16,4,1,1790,1700,1941,2048,2123,1729,1867.25,2117
24.83333333,46,16,4,1,1967,1692,1809,1948,2038,1648,1885.666667,2030
24.5,48,16,4,1,2093,1762,1765,1938,2034,1646,1908,2033
24.16666667,50,17,4,1,2127,1818,1767,1980,2015,1655,1929.916667,2030
23.83333333,52,17,4,1,2117,1790,1700,1988,2016,1681,1960,2061
23.5,54,17,4,1,2030,1967,1692,2108,2071,1727,1992.083333,2077
23.16666667,56,17,4,1,2033,2093,1762,2097,2081,1718,2023.5,2139
22.83333333,58,18,4,1,2030,2127,1818,2015,2050,1636,2050.666667,2144
22.5,60,18,4,1,2061,2117,1790,1975,1983,1628,2075.666667,2090
22.16666667,62,18,4,1,2077,2030,1967,2007,1957,1645,2086.75,2100
21.83333333,64,18,4,1,2139,2033,2093,1999,1958,1644,2088,2108
21.5,66,19,4,1,2144,2030,2127,2010,1977,1680,2086.083333,2104
21.29166667,66.5,19,4,1,2090,2061,2117,2015,2017,1654,2084.583333,2099
21.08333333,67,19,4,1,2100,2077,2030,2001,2019,1625,2083.083333,2012
20.875,67.5,19,4,1,2108,2139,2033,2000,2021,1618,2079.583333,1991
20.66666667,68,20,4,1,2104,2144,2030,1989,1994,1593,2070.833333,1925
20.45833333,68.5,20,4,1,2099,2090,2061,1951,1951,1618,2060.916667,1942
20.25,69,20,4,1,2012,2100,2077,1922,1948,1661,2048.5,1928
20.04166667,69.5,20,4,1,1991,2108,2139,1924,1921,1589,2034,1965
19.83333333,70,21,4,1,1925,2104,2144,1882,1872,1599,2015.416667,1921
19.625,70.5,21,4,1,1942,2099,2090,1845,1845,1682,1998.583333,1888
19.41666667,71,21,4,1,1928,2012,2100,1977,1990,1790,1986,1949
19.20833333,71.5,21,4,1,1965,1991,2108,1996,1981,1770,1978.166667,2014
19,72,22,4,1,1921,1925,2104,1964,1954,1754,1961.75,1907
18.86363636,72.36363636,22,4,1,1888,1942,2099,1933,1978,1764,1947.083333,1923
18.72727273,72.72727273,22,4,1,1949,1928,2012,1950,1982,1847,1934.333333,1859
18.59090909,73.09090909,22,4,1,2014,1965,1991,1933,1993,1831,1921.416667,1836
18.45454545,73.45454545,23,4,1,1907,1921,1925,1891,1986,1798,1918.5,1890
18.31818182,73.81818182,23,4,1,1923,1888,1942,1879,1974,1742,1915.333333,1904
18.18181818,74.18181818,23,4,1,1859,1949,1928,1919,1898,1704,1912.25,1891
18.04545455,74.54545455,23,4,1,1836,2014,1965,1885,1829,1664,1905.75,1887
17.90909091,74.90909091,24,4,1,1890,1907,1921,1844,1813,1620,1901.416667,1869
17.77272727,75.27272727,24,4,1,1904,1923,1888,1787,1776,1587,1897.083333,1836
17.63636364,75.63636364,24,4,1,1891,1859,1949,1789,1774,1584,1886.083333,1817
17.5,76,24,4,1,1887,1836,2014,1754,1730,1561,1866.333333,1777
17.5,76,1,5,1,1869,1890,1907,1713,1719,1540,1849.166667,1701
17.33333333,76.66666667,1,5,1,1836,1904,1923,1675,1679,1533,1828.416667,1674
17.16666667,77.33333333,1,5,1,1817,1891,1859,1676,1665,1520,1812.25,1665
17,78,1,5,1,1777,1887,1836,1612,1645,1500,1796,1641
16.83333333,78.66666667,2,5,1,1701,1869,1890,1623,1614,1482,1774.666667,1634
16.66666667,79.33333333,2,5,1,1674,1836,1904,1592,1584,1458,1750.166667,1610
16.5,80,2,5,1,1665,1817,1891,1562,1566,1430,1725.416667,1594
16.33333333,80.66666667,2,5,1,1641,1777,1887,1533,1546,1421,1699.916667,1581
16.16666667,81.33333333,3,5,1,1634,1701,1869,1505,1551,1408,1674.166667,1560
16,82,3,5,1,1610,1674,1836,1504,1535,1400,1649.833333,1544
15.83333333,82.66666667,3,5,1,1594,1665,1817,1501,1537,1416,1627.25,1546
15.66666667,83.33333333,3,5,1,1581,1641,1777,1468,1529,1412,1606,1522
15.5,84,4,5,1,1560,1634,1701,1501,1488,1384,1589.416667,1502
15.54166667,83.58333333,4,5,1,1544,1610,1674,1467,1503,1365,1577,1525
15.58333333,83.16666667,4,5,1,1546,1594,1665,1507,1509,1374,1566.25,1536
15.625,82.75,4,5,1,1522,1581,1641,1511,1511,1378,1557.583333,1537
15.66666667,82.33333333,5,5,1,1502,1560,1634,1509,1519,1396,1548.833333,1529
15.70833333,81.91666667,5,5,1,1525,1544,1610,1506,1537,1399,1541.583333,1523
15.75,81.5,5,5,1,1536,1546,1594,1526,1539,1410,1536.833333,1537
15.79166667,81.08333333,5,5,1,1537,1522,1581,1522,1548,1445,1533.916667,1546
15.83333333,80.66666667,6,5,1,1529,1502,1560,1518,1538,1457,1536.166667,1587
15.875,80.25,6,5,1,1523,1525,1544,1525,1587,1473,1541.5,1608
15.91666667,79.83333333,6,5,1,1537,1536,1546,1543,1639,1522,1551.916667,1671
15.95833333,79.41666667,6,5,1,1546,1537,1522,1583,1713,1596,1570,1739
16,79,7,5,1,1587,1529,1502,1613,1763,1617,1593.583333,1785
16.70833333,76.08333333,7,5,1,1608,1523,1525,1642,1723,1601,1611.666667,1742
17.41666667,73.16666667,7,5,1,1671,1537,1536,1630,1631,1598,1625.5,1702
18.125,70.25,7,5,1,1739,1546,1537,1676,1719,1653,1642,1735
18.83333333,67.33333333,8,5,1,1785,1587,1529,1706,1738,1671,1660.916667,1756
19.54166667,64.41666667,8,5,1,1742,1608,1523,1709,1732,1677,1683.666667,1796
20.25,61.5,8,5,1,1702,1671,1537,1736,1757,1738,1710.333333,1857
20.95833333,58.58333333,8,5,1,1735,1739,1546,1795,1790,1753,1733.333333,1822
21.66666667,55.66666667,9,5,1,1756,1785,1587,1794,1807,1757,1753,1823
22.375,52.75,9,5,1,1796,1742,1608,1810,1817,1788,1774.25,1863
23.08333333,49.83333333,9,5,1,1857,1702,1671,1836,1896,1872,1797.416667,1949
23.79166667,46.91666667,9,5,1,1822,1735,1739,1845,1950,1882,1816.333333,1966
24.5,44,10,5,1,1823,1756,1785,1950,1947,1890,1832.666667,1981
24.58333333,43.25,10,5,1,1863,1796,1742,1942,1883,1845,1851.666667,1970
24.66666667,42.5,10,5,1,1949,1857,1702,1966,1938,1875,1876.666667,2002
24.75,41.75,10,5,1,1966,1822,1735,1936,1891,1840,1897.5,1985
24.83333333,41,11,5,1,1981,1823,1756,1913,1885,1864,1916,1978
24.91666667,40.25,11,5,1,1970,1863,1796,1913,1865,1865,1932.333333,1992
25,39.5,11,5,1,2002,1949,1857,1938,1921,1943,1949.75,2066
25.08333333,38.75,11,5,1,1985,1966,1822,1991,1923,1935,1968.916667,2052
