Temp,Hum,A,B,C,D,E,F,G,H,I,J,Cons
29.5,81,1,3,1,3331,3320,3301,3118,3254,3595,3303.75,3142
29.41666667,81.58333333,1,3,1,3347,3306,3268,3078,3322,3490,3294.5,3157
29.33333333,82.16666667,1,3,1,3364,3315,3259,3204,3401,3443,3295.666667,3273
29.25,82.75,1,3,1,3355,3345,3293,3132,3350,3338,3292,3249
29.16666667,83.33333333,2,3,1,3142,3331,3320,3116,3281,3153,3283.583333,3219
29.08333333,83.91666667,2,3,1,3157,3347,3306,3077,3253,3086,3270.916667,3154
29,84.5,2,3,1,3273,3364,3315,3069,3349,3114,3258.083333,3161
28.91666667,85.08333333,2,3,1,3249,3355,3345,3110,3355,3089,3239.5,3122
28.83333333,85.66666667,3,3,1,3219,3142,3331,3092,3311,3141,3220.083333,3098
28.75,86.25,3,3,1,3154,3157,3347,3072,3348,3162,3188.416667,2967
28.66666667,86.83333333,3,3,1,3161,3273,3364,3185,3382,3265,3145.083333,2844
28.58333333,87.41666667,3,3,1,3122,3249,3355,3176,3343,3250,3123.75,3099
28.5,88,4,3,1,3098,3219,3142,3140,3329,3234,3118.166667,3075
28.54166667,87.75,4,3,1,2967,3154,3157,3115,3383,3268,3110.666667,3067
28.58333333,87.5,4,3,1,2844,3161,3273,3128,3390,3262,3092.583333,3056
28.625,87.25,4,3,1,3099,3122,3249,3129,3345,3264,3077,3062
28.66666667,87,5,3,1,3075,3098,3219,3145,3364,3281,3063.333333,3055
28.70833333,86.75,5,3,1,3067,2967,3154,3122,3329,3350,3053.916667,3041
28.75,86.5,5,3,1,3056,2844,3161,3114,3337,3401,3044.666667,3050
28.79166667,86.25,5,3,1,3062,3099,3122,3142,3370,3442,3044.666667,3122
28.83333333,86,6,3,1,3055,3075,3098,3129,3386,3480,3048,3138
28.875,85.75,6,3,1,3041,3067,2967,3139,3381,3483,3062.083333,3136
28.91666667,85.5,6,3,1,3050,3056,2844,3163,3392,3494,3084.583333,3114
28.95833333,85.25,6,3,1,3122,3062,3099,3174,3397,3460,3084.583333,3099
29,85,7,3,1,3138,3055,3075,3175,3427,3320,3087.75,3113
29.20833333,84,7,3,1,3136,3041,3067,3150,3282,3247,3089,3082
29.41666667,83,7,3,1,3114,3050,3056,3048,3255,3328,3089.166667,3058
29.625,82,7,3,1,3099,3122,3062,3090,3254,3325,3087.083333,3037
29.83333333,81,8,3,1,3113,3138,3055,3097,3257,3327,3087.333333,3058
30.04166667,80,8,3,1,3082,3136,3041,3049,3287,3311,3092.916667,3108
30.25,79,8,3,1,3058,3114,3050,3032,3303,3333,3104.416667,3188
30.45833333,78,8,3,1,3037,3099,3122,3155,3271,3419,3109.666667,3185
30.66666667,77,9,3,1,3058,3113,3138,3160,3300,3409,3108.666667,3126
30.875,76,9,3,1,3108,3082,3136,3157,3303,3427,3099.75,3029
31.08333333,75,9,3,1,3188,3058,3114,3074,3267,3236,3089.5,2991
31.29166667,74,9,3,1,3185,3037,3099,3181,3310,3310,3092.666667,3137
31.5,73,10,3,1,3126,3058,3113,3240,3316,3372,3098.916667,3188
31.5,73,10,3,1,3029,3108,3082,3267,3268,3363,3115.916667,3286
31.5,73,10,3,1,2991,3188,3058,3213,3266,3302,3132.166667,3253
31.5,73,10,3,1,3137,3185,3037,3220,3262,3295,3142.75,3164
31.5,73,11,3,1,3188,3126,3058,3240,3256,3342,3150,3145
31.5,73,11,3,1,3286,3029,3108,3242,3257,3315,3151.25,3123
31.5,73,11,3,1,3253,2991,3188,3234,3289,3303,3149.333333,3165
31.5,73,11,3,1,3164,3137,3185,3299,3294,3369,3146.833333,3155
31.5,73,12,3,1,3145,3188,3126,3279,3278,3396,3150.083333,3165
31.5,73,12,3,1,3123,3286,3029,3235,3260,3387,3147.25,2995
31.5,73,12,3,1,3165,3253,2991,3085,3251,3148,3153.333333,3064
31.5,73,12,3,1,3155,3164,3137,3156,3237,3175,3151.666667,3117
31.5,73,13,3,1,3165,3145,3188,3226,3250,3249,3143.333333,3088
31.5,73.25,13,3,1,2995,3123,3286,3207,3193,3264,3119.5,3000
31.5,73.5,13,3,1,3064,3165,3253,3297,3173,3373,3106.75,3100
31.5,73.75,13,3,1,3117,3155,3164,3321,3177,3427,3099.583333,3078
31.5,74,14,3,1,3088,3165,3145,3288,3181,3452,3092.5,3060
31.5,74.25,14,3,1,3000,2995,3123,3215,3166,3417,3082.916667,3008
31.5,74.5,14,3,1,3100,3064,3165,3033,3190,3103,3075.916667,3081
31.5,74.75,14,3,1,3078,3117,3155,3259,3148,3174,3072.416667,3113
31.5,75,15,3,1,3060,3088,3165,3336,3153,3234,3066.166667,3090
31.5,75.25,15,3,1,3008,3000,2995,3353,3103,3299,3077.75,3134
31.5,75.5,15,3,1,3081,3100,3064,3323,3108,3370,3083.916667,3138
31.5,75.75,15,3,1,3113,3078,3117,3358,3095,3416,3080.75,3079
31.5,76,16,3,1,3090,3060,3088,3363,3096,3405,3079.833333,3077
31.41666667,76.5,16,3,1,3134,3008,3000,3335,3102,3391,3085.75,3071
31.33333333,77,16,3,1,3138,3081,3100,3244,3109,3254,3096.833333,3233
31.25,77.5,16,3,1,3079,3113,3078,3320,3097,3330,3102.833333,3150
31.16666667,78,17,3,1,3077,3090,3060,3348,3129,3374,3097.666667,2998
31.08333333,78.5,17,3,1,3071,3134,3008,3324,3132,3393,3096.333333,2992
31,79,17,3,1,3233,3138,3081,3350,3125,3435,3104.166667,3175
30.91666667,79.5,17,3,1,3150,3079,3113,3425,3139,3452,3106.416667,3140
30.83333333,80,18,3,1,2998,3077,3090,3360,3126,3420,3108.083333,3110
30.75,80.5,18,3,1,2992,3071,3134,3291,3061,3377,3103,3073
30.66666667,81,18,3,1,3175,3233,3138,3372,3026,3455,3106.416667,3179
30.58333333,81.5,18,3,1,3140,3150,3079,3314,3017,3490,3112.583333,3153
30.5,82,19,3,1,3110,2998,3077,3276,3032,3482,3114.666667,3102
30.41666667,82.58333333,19,3,1,3073,2992,3071,3218,3032,3442,3118.583333,3118
30.33333333,83.16666667,19,3,1,3179,3175,3233,3017,3124,3288,3116.5,3208
30.25,83.75,19,3,1,3153,3140,3150,3030,3105,3173,3121.166667,3206
30.16666667,84.33333333,20,3,1,3102,3110,2998,3110,3176,3174,3136.583333,3183
30.08333333,84.91666667,20,3,1,3118,3073,2992,3088,3200,3142,3151.083333,3166
30,85.5,20,3,1,3208,3179,3175,3051,3276,3204,3164.416667,3335
29.91666667,86.08333333,20,3,1,3206,3153,3140,3127,3301,3292,3182.25,3354
29.83333333,86.66666667,21,3,1,3183,3102,3110,3154,3235,3272,3200.083333,3324
29.75,87.25,21,3,1,3166,3118,3073,3211,3224,3245,3212.416667,3221
29.66666667,87.83333333,21,3,1,3335,3208,3179,3239,3191,3251,3217.416667,3239
29.58333333,88.41666667,21,3,1,3354,3206,3153,3298,3168,3307,3228.25,3283
