Temp,Hum,A,B,C,D,E,F,G,H,I,J,Cons
26.5,70,1,1,0,2778,2744,2782,3085,3280,3160,2752.083333,2701
26.33333333,70.5,1,1,0,2747,2758,2777,3063,3255,3181,2745.083333,2693
26.16666667,71,1,1,0,2743,2765,2779,3061,3281,3223,2736.5,2676
26,71.5,1,1,0,2705,2765,2763,3033,3257,3226,2728.25,2664
25.83333333,72,2,1,0,2701,2778,2744,3045,3241,3191,2722,2669
25.66666667,72.5,2,1,0,2693,2747,2758,3006,3196,3153,2712.666667,2646
25.5,73,2,1,0,2676,2743,2765,2988,3185,3157,2701.75,2634
25.33333333,73.5,2,1,0,2664,2705,2765,2970,3150,3127,2688.916667,2611
25.16666667,74,3,1,0,2669,2701,2778,2938,3133,3103,2673,2587
25,74.5,3,1,0,2646,2693,2747,2895,3101,3053,2656,2543
24.83333333,75,3,1,0,2634,2676,2743,2901,3067,3018,2639.666667,2547
24.66666667,75.5,3,1,0,2611,2664,2705,2878,3061,3022,2626.416667,2546
24.5,76,4,1,0,2587,2669,2701,2862,3055,3013,2611.416667,2521
24.58333333,75.75,4,1,0,2543,2646,2693,2848,3009,2975,2596.083333,2509
24.66666667,75.5,4,1,0,2547,2634,2676,2833,2989,2989,2580.083333,2484
24.75,75.25,4,1,0,2546,2611,2664,2830,2982,2959,2566.416667,2500
24.83333333,75,5,1,0,2521,2587,2669,2803,2968,2941,2551.25,2487
24.91666667,74.75,5,1,0,2509,2543,2646,2796,2954,2951,2536.916667,2474
25,74.5,5,1,0,2484,2547,2634,2767,2957,2942,2522.083333,2456
25.08333333,74.25,5,1,0,2500,2546,2611,2793,2962,2971,2508.25,2445
25.16666667,74,6,1,0,2487,2521,2587,2776,2963,2928,2495.416667,2433
25.25,73.75,6,1,0,2474,2509,2543,2774,2969,2961,2485.833333,2428
25.33333333,73.5,6,1,0,2456,2484,2547,2702,2963,2959,2474.5,2411
25.41666667,73.25,6,1,0,2445,2500,2546,2745,2969,2978,2461.5,2390
25.5,73,7,1,0,2433,2487,2521,2691,2945,2976,2443.583333,2306
26.04166667,70.75,7,1,0,2428,2474,2509,2658,2916,2921,2424.166667,2276
26.58333333,68.5,7,1,0,2411,2456,2484,2614,2888,2904,2404.416667,2247
27.125,66.25,7,1,0,2390,2445,2500,2627,2883,2932,2382.666667,2239
27.66666667,64,8,1,0,2306,2433,2487,2610,2897,2881,2359.833333,2213
28.20833333,61.75,8,1,0,2276,2428,2474,2578,2867,2897,2335.75,2185
28.75,59.5,8,1,0,2247,2411,2456,2582,2870,2857,2311.666667,2167
29.29166667,57.25,8,1,0,2239,2390,2445,2580,2878,2890,2287.25,2152
29.83333333,55,9,1,0,2213,2306,2433,2581,2834,2897,2257.75,2079
30.375,52.75,9,1,0,2185,2276,2428,2611,2913,3007,2229.833333,2093
30.91666667,50.5,9,1,0,2167,2247,2411,2652,3038,3127,2205.25,2116
31.45833333,48.25,9,1,0,2152,2239,2390,2678,3109,3176,2182.666667,2119
32,46,10,1,0,2079,2213,2306,2706,3136,3144,2167.333333,2122
32.33333333,44.83333333,10,1,0,2093,2185,2276,2731,3088,3033,2156.583333,2147
32.66666667,43.66666667,10,1,0,2116,2167,2247,2760,3037,2959,2148,2144
33,42.5,10,1,0,2119,2152,2239,2768,3133,3017,2141.5,2161
33.33333333,41.33333333,11,1,0,2122,2079,2213,2790,3118,3013,2138.416667,2176
33.66666667,40.16666667,11,1,0,2147,2093,2185,2787,3105,3052,2136.833333,2166
34,39,11,1,0,2144,2116,2167,2784,3138,3101,2137.833333,2179
34.33333333,37.83333333,11,1,0,2161,2119,2152,2797,3128,3054,2140.75,2187
34.66666667,36.66666667,12,1,0,2176,2122,2079,2778,3123,3037,2148.083333,2167
35,35.5,12,1,0,2166,2147,2093,2784,3097,2972,2155.916667,2187
35.33333333,34.33333333,12,1,0,2179,2144,2116,2788,3046,3035,2161.333333,2181
35.66666667,33.16666667,12,1,0,2187,2161,2119,2721,3086,3036,2166.25,2178
