Temp,Hum,A,B,C,D,E,F,G,H,I,J,Cons
12.5,77,1,6,1,1847,1849,1961,1673,1619,1562,1841.333333,1720
12.375,76.91666667,1,6,1,1807,1867,1931,1642,1573,1520,1821.333333,1691
12.25,76.83333333,1,6,1,1778,1876,1908,1626,1559,1500,1801.666667,1672
12.125,76.75,1,6,1,1754,1876,1883,1621,1546,1497,1782.166667,1649
12,76.66666667,2,6,1,1720,1847,1849,1569,1533,1487,1764.416667,1636
11.875,76.58333333,2,6,1,1691,1807,1867,1535,1507,1458,1742.916667,1609
11.75,76.5,2,6,1,1672,1778,1876,1558,1497,1422,1719.583333,1596
11.625,76.41666667,2,6,1,1649,1754,1876,1564,1472,1436,1695.583333,1588
11.5,76.33333333,3,6,1,1636,1720,1847,1536,1467,1421,1672.583333,1571
11.375,76.25,3,6,1,1609,1691,1807,1530,1462,1415,1651.333333,1552
11.25,76.16666667,3,6,1,1596,1672,1778,1532,1464,1398,1631.833333,1544
11.125,76.08333333,3,6,1,1588,1649,1754,1534,1462,1404,1614.5,1546
11,76,4,6,1,1571,1636,1720,1524,1446,1388,1598.416667,1527
11,76,4,6,1,1552,1609,1691,1500,1449,1382,1582.75,1503
11,76,4,6,1,1544,1596,1672,1497,1435,1402,1568.833333,1505
11,76,4,6,1,1546,1588,1649,1501,1450,1400,1557.416667,1512
11,76,5,6,1,1527,1571,1636,1509,1442,1395,1545.25,1490
11,76,5,6,1,1503,1552,1609,1522,1427,1386,1535.75,1495
11,76,5,6,1,1505,1544,1596,1548,1469,1404,1528.333333,1507
11,76,5,6,1,1512,1546,1588,1553,1505,1410,1523.416667,1529
11,76,6,6,1,1490,1527,1571,1579,1516,1406,1522,1554
11,76,6,6,1,1495,1503,1552,1597,1560,1430,1523.916667,1575
11,76,6,6,1,1507,1505,1544,1653,1614,1498,1528.5,1599
11,76,6,6,1,1529,1512,1546,1727,1685,1582,1536.5,1642
11,76,7,6,1,1554,1490,1527,1789,1755,1639,1546.916667,1652
11.75,73,7,6,1,1575,1495,1503,1821,1807,1673,1562.25,1687
12.5,70,7,6,1,1599,1507,1505,1883,1855,1724,1579,1706
13.25,67,7,6,1,1642,1529,1512,1921,1828,1747,1592.083333,1669
14,64,8,6,1,1652,1554,1490,1958,1902,1757,1605.25,1648
14.75,61,8,6,1,1687,1575,1495,1989,1942,1780,1617.25,1639
15.5,58,8,6,1,1706,1599,1507,2001,1976,1796,1626.416667,1617
16.25,55,8,6,1,1669,1642,1529,1990,1951,1777,1632.833333,1606
17,52,9,6,1,1648,1652,1554,1980,1950,1842,1635.916667,1591
17.75,49,9,6,1,1639,1687,1575,1982,1958,1865,1635.333333,1568
18.5,46,9,6,1,1617,1706,1599,2037,2007,1919,1632.166667,1561
19.25,43,9,6,1,1606,1669,1642,2090,2052,1992,1625.416667,1561
20,40,10,6,1,1591,1648,1652,2132,2078,2008,1618.166667,1565
20.41666667,39.08333333,10,6,1,1568,1639,1687,2121,2048,2024,1608.333333,1569
20.83333333,38.16666667,10,6,1,1561,1617,1706,2072,2029,1950,1597.333333,1574
21.25,37.25,10,6,1,1561,1606,1669,2033,1987,1998,1589.583333,1576
21.66666667,36.33333333,11,6,1,1565,1591,1648,2064,1993,1984,1585.25,1596
22.08333333,35.41666667,11,6,1,1569,1568,1639,2032,2001,2004,1581.75,1597
22.5,34.5,11,6,1,1574,1561,1617,2037,2005,2013,1580.083333,1597
22.91666667,33.58333333,11,6,1,1576,1561,1606,2029,2008,2031,1579.75,1602
23.33333333,32.66666667,12,6,1,1596,1565,1591,2004,1975,2033,1579.75,1591
23.75,31.75,12,6,1,1597,1569,1568,1995,1973,2016,1583.083333,1608
24.16666667,30.83333333,12,6,1,1597,1574,1561,1987,1993,1941,1587.5,1614
24.58333333,29.91666667,12,6,1,1602,1576,1561,1984,2006,1937,1591.25,1606
25,29,13,6,1,1591,1596,1565,2015,1985,1987,1594.333333,1602
24.875,29.25,13,6,1,1608,1597,1569,1997,1965,1975,1596.583333,1596
24.75,29.5,13,6,1,1614,1597,1574,1988,1973,1785,1597.666667,1587
24.625,29.75,13,6,1,1606,1602,1576,2007,1977,1799,1599.083333,1593
24.5,30,14,6,1,1602,1591,1596,1964,1936,1909,1599.333333,1599
24.375,30.25,14,6,1,1596,1608,1597,1920,1906,1914,1598.5,1587
24.25,30.5,14,6,1,1587,1614,1597,1901,1900,1897,1594.333333,1547
24.125,30.75,14,6,1,1593,1606,1602,1910,1905,1879,1585.833333,1500
24,31,15,6,1,1599,1602,1591,1938,1902,1909,1578.166667,1499
23.875,31.25,15,6,1,1587,1596,1608,1962,1959,1943,1566.5,1468
23.75,31.5,15,6,1,1547,1587,1614,2028,2032,1959,1553.916667,1463
23.625,31.75,15,6,1,1500,1593,1606,2063,2049,2029,1538.75,1424
23.5,32,16,6,1,1499,1599,1602,2086,2074,2012,1523.75,1422
22.875,33.91666667,16,6,1,1468,1587,1596,2105,2076,1978,1509.25,1422
22.25,35.83333333,16,6,1,1463,1547,1587,2130,2095,1979,1496,1428
21.625,37.75,16,6,1,1424,1500,1593,2140,2113,2037,1483.25,1440
